layer,source,sentence
Layer_1_Identity,Business_Report_2026,당사는 이러한 원시데이터의 전자공시시스템 dart.fss.or.kr Page 15 왜곡을 보정하여 활용 가능한 형태인 표준 영상으로 생성하고 이를 활용하여 데이터를 처리 서비스까지의 통합 솔루션 서비스를 제공하고 있습니다.
Layer_1_Identity,Business_Report_2026,"따라서 당사는 현재 제공하고 있는 위성영상 데이터 처리 서비스에 대한 고 도화를 진행함과 동시에 정밀 복사보정, 연무 제거 등과 같은 고도화된 서비스 솔루션 기능 또한 개발해 나가고 있습니다."
Layer_1_Identity,Business_Report_2026,"나 Value Added 위성영상 분석 솔루션 당사의 Value Added 위성영상 분석 솔루션은 위성영상이 가진 다양한 정보에 대해 공간객 체 탐지, 공간영상 분할, 변화 탐지 등 AI Deep Learning에 기반한 기술들을 적용하여 고객 의 요구사항에 맞춰 제공해주는 위성영상 분석 솔루션입니다."
Layer_1_Identity,Business_Report_2026,"당사는 위성영상 활용 분야의 경우 위성영상을 확보하기 어렵고 위성영상 활용 관련 SW의 라이선스 비용이 높으며, 영상처리 알고리즘이 매우 복잡하고 정확한 결과를 도출하는데 요 구되는 메타데이터가 너무 많다는 점으로 인해 고객들이 위성영상 활용 솔루션을 이용하는 데 어려움을 겪고 있다는 점에 착안하여 위성영상 활용 솔루션 서비스를 개발하였습니다."
Layer_1_Identity,Business_Report_2026,"당사는 전자광학 EO 위성 뿐만 아니라 영상레이더 SAR 위성 및 국내 항공우주연구원의 KOMPSAT 위성, 당사 자체 위성을 통해 영상을 공급 판매하고 있습니다."
Layer_1_Identity,Business_Report_2026,"이와 더불어 도시 관리, 항만관리, 농업 모니터링, 산불감시 등 의사결정 지원을 위한 다수의 솔루션을 제공하 고 있으며, 전국 지차체는 물론 다양한 정부 기관에 해당 솔루션을 공급한 바 있습니다."
Layer_1_Identity,Business_Report_2026,또한 향후 늘어날 이러한 위성 영상 솔루션에 대한 고객 수요를 충족시키고 서비스 확장을 위해 고객 맞춤 공급형 솔루션 외에도 구독형 플랫폼 형태로 위성 영상 활용 서비스 솔루션 제품을 확장하여 다양한 고객들이 손쉽게 위성활용 서비스를 이용할 수 있도록 사업을 확장 해 나갈 계획입니다.
Layer_1_Identity,Business_Report_2026,3 위성통신단말기 종속회사의 위성통신단말기는 글로벌 위성 사업자인 UAE 소재의 THURAYA 및 영국 소 재의 Inmarsat 기업을 핵심 고객으로 확보하고 있습니다.
Layer_1_Identity,Business_Report_2026,"이를 기반으로 현재 유럽, 아프리 카, 중동 및 아태지역을 아우르는 글로벌 시장 전역에 단말기 공급 및 이동위성통신서비스를 제공하고 있습니다."
Layer_1_Identity,Business_Report_2026,"휴대폰 형태의 단말기인 위성휴대폰 HANDHELD , M2M Machine to Machine 및 협대역 NARROWBAND 단말기는 별도의 부가장치 없이 고속이동 중에도 음 성통신 및 저속 low data rate 의 데이터 통신이 가능하며, 광대역 BROADBAND 단말기는 단말기의 움직에 맞추어 인공위성의 자동추적이 가능한 별도의 선박용 및 자동차 전용의 트 래킹 tracking 안테나를 부착하는 경우 이동하는 선박및 자동차에서도 고속 high data rate 의 데이터 통신이 가능하여 위성통신단말기 시장의 피봇팅을 통한 다양한 사업 확대가 예상됩니다."
Layer_1_Identity,Business_Report_2026,"4 인공위성 본체 및 부분품 개발 전자공시시스템 dart.fss.or.kr Page 16 종속회사는 수년 간 다목적 실용위성사업으로 대표되는 국가우주개발사업에 참여하여, 위성 본체 체계 개발, 위성 탑재체 국산화 개발, 위성시험용 EGSE 국산화 개발, 위성AIT 센터 구 축 등 다양한 우주기술의 국산화를 위해 많은 노력을 기울여 왔으며, 우주항공분야에서 선진 기술의 국산화와 기술혁신에 끊임없이 도전하여, 국가 우주항공 개발 사업에 기여하고, 전자, 자동차, 조선 등과 같이 우주항공분야가 우리나라를 대표하는 산업분야로 발전하는데 기여 하고 있습니다."
Layer_1_Identity,Business_Report_2026,"주요 제품의 가격변동 추이 당사의 솔루션 제품은 고객의 요청에 따라 구성을 달리하여 납품하는 것으로 프로젝트의 규 모 및 수주기간, 투입 인원에 따라 금액이 변동되는 특성을 가지고 있어, 가격변동추이 산정 이 어려운 상황이며 위성통신단말기는 제품의 사양과 기능에 따라 차이가 있으나 300 500 수준의 안정적인 가격으로 유지, 인공위성 및 부분품의 개발비는 정부지원 예산 범위 내에서 적절하게 책정하고 있습니다."
Layer_1_Identity,Business_Report_2026,"원재료 가격변동 추이 당사는 고객사의 주문에 의해 납품하는 수주방식이며, 제품 사이즈를 비롯하여 스펙 사양이 다양합니다."
Layer_1_Identity,Business_Report_2026,"주요 원재료 매입처 당사 제품의 주요 원재료는 안테나 및 지상국 시스템 장비로 국내 및 해외 업체들로부터 원 재료 공급의 안정성을 확보하고 있으며, 위성영상 데이터 처리 및 활용 분석 사업의 경우 원 재료에 관하여 해당 사항이 없습니다."
Layer_1_Identity,Business_Report_2026,생산설비에 관한 사항 당사는 별도의 생산 시설에 생산 활동을 진행하지 않기에 생산 설비를 가지고 있지 않습니다 .
Layer_1_Identity,Business_Report_2026,"당사는 서비스를 제공하기 위하여, 사무실 및 글로벌 지상국 등을 보유하고 있으며 아래의 표는 당사의 유형자산 보유현황입니다."
